Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Rating,Payment,Date,Time,cogs,gross margin percentage,gross income
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,$723.24,8.7,Credit card,03/12/2019,12:43:00 p. m.,688.8,4.761904762,34.44
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,$410.51,6.4,Ewallet,03/12/2019,07:53:00 p. m.,390.96,4.761904762,19.548
373-14-0504,A,Yangon,Member,Female,Sports and travel,71.63,2,7.163,$150.42,8.8,Ewallet,02/12/2019,02:33:00 p. m.,143.26,4.761904762,7.163
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,$419.83,6.5,Credit card,01/12/2019,12:02:00 p. m.,399.84,4.761904762,19.992
751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,6,6.903,$144.96,7.9,Ewallet,01/12/2019,04:45:00 p. m.,138.06,4.761904762,6.903
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,$254.02,7.3,Credit card,03/11/2019,04:07:00 p. m.,241.92,4.761904762,12.096
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,6.5,Cash,03/11/2019,03:53:00 p. m.,207.27,4.761904762,10.3635
534-53-3526,A,Yangon,Normal,Female,Sports and travel,94.76,4,18.952,$397.99,7.8,Ewallet,02/11/2019,04:06:00 p. m.,379.04,4.761904762,18.952
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,$345.79,7.5,Credit card,01/11/2019,10:37:00 a. m.,329.32,4.761904762,16.466
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,$183.04,9.7,Credit card,01/11/2019,02:29:00 p. m.,174.32,4.761904762,8.716
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,$328.76,7,Ewallet,03/10/2019,07:15:00 p. m.,313.1,4.761904762,15.655
696-90-2548,A,Yangon,Normal,Male,Sports and travel,25.84,3,3.876,$81.40,6.6,Ewallet,03/10/2019,06:55:00 p. m.,77.52,4.761904762,3.876
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,7.4,Cash,02/10/2019,06:36:00 p. m.,139.36,4.761904762,6.968
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,$703.75,5.1,Cash,01/10/2019,02:49:00 p. m.,670.24,4.761904762,33.512
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,$161.55,5.1,Ewallet,01/10/2019,04:42:00 p. m.,153.86,4.761904762,7.693
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,$611.08,6.6,Credit card,01/10/2019,10:31:00 a. m.,581.98,4.761904762,29.099
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,$944.62,4.2,Credit card,03/09/2019,05:26:00 p. m.,899.64,4.761904762,44.982
308-47-4913,A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,$548.73,6.2,Credit card,03/09/2019,12:45:00 p. m.,522.6,4.761904762,26.13
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,$256.78,6.6,Cash,03/09/2019,10:17:00 a. m.,244.55,4.761904762,12.2275
816-57-2053,A,Yangon,Normal,Male,Sports and travel,60.87,2,6.087,$127.83,8.7,Ewallet,03/09/2019,12:37:00 p. m.,121.74,4.761904762,6.087
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,4.2,Cash,02/09/2019,11:00:00 a. m.,222.4,4.761904762,11.12
343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,4.1,Cash,01/09/2019,04:34:00 p. m.,94.8,4.761904762,4.74
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,5.2,Cash,01/09/2019,01:45:00 p. m.,954.4,4.761904762,47.72
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,5.6,Cash,02/08/2019,01:03:00 p. m.,414.72,4.761904762,20.736
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,$634.38,5.3,Ewallet,02/08/2019,10:37:00 a. m.,604.17,4.761904762,30.2085
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,$853.15,7.2,Ewallet,02/08/2019,11:15:00 a. m.,812.52,4.761904762,40.626
815-04-6282,C,Naypyitaw,Member,Female,Sports and travel,64.97,5,16.2425,$341.09,6.5,Credit card,02/08/2019,12:52:00 p. m.,324.85,4.761904762,16.2425
